Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
114,Karl Albrecht Jr,13,Germany,Aldi Sued,Multi Brand Retailing
115,Kwong Siu Hing,13,Hong Kong,Sun Hung Kai,Real Estate
116,Michael Otto,13,Germany,Otto Group,Multi Brand Retailing
117,Mikhail Fridman,13,United Kingdom,Alfa,Energy
118,Pollyanna Chu Yuet Wah,13,Hong Kong,Kingston Financial,Investments
119,Reinhold Wurth,13,Germany,Wurth Group,Automobiles & Auto Components
120,Sara Mota De Larrea,13,Mexico,Grupo Mexico,Conglomerate
121,Stephen Schwarzman,13,United States,Blackstone,Investments
122,Steve Cohen,13,United States,Sac Capital,Hedge Funds
123,Vagit Alekperov,13,Russia,Lukoil,Energy
124,Wang Wenxue,13,China,Fortune Land Development,Real Estate
125,Wang Wenyin & Liu Jiehong,13,China,Amer,Cable and copper products
126,Zhang Shiping,13,China,Weiqiao Pioneering,"Textiles, aluminum"
127,Abigail Johnson,12,United States,Fidelity,Investments
128,Acharya Balakrishna,12,India,Patanjali Ayurved,FMCG
129,Azim Premji,12,India,Wipro,Software & Services
130,Carlos Alberto Sicupira,12,Brazil,3G Capital,Investments
131,Cyrus Poonawalla,12,India,Serum,Pharmaceuticals
132,Donald Newhouse,12,United States,Discovery Communication,Media
133,Emilio Alves Odebrecht,12,Brazil,Odebrecht,Petrochemical
134,Gina Rinehart,12,Australia,Hancock Prospecting,Mining
135,Hasso Plattner,12,Germany,SAP,Software
136,Joseph Tsai Chung-Hsin,12,Hong Kong,Alibaba,TMT
137,Liu Qiangdong,12,China,JD,TMT
138,Massimiliana Landini Aleotti,12,Italy,Menarini,Pharmaceuticals
139,Mohammed Al Amoudi,12,Saudi Arabia,Corral Petroleum,Energy
140,Peter Woo Kwong-Ching & Pao Pui Yung,12,Hong Kong,Wheelock,Real Estate
141,Petr Kellner,12,Czech Republic,Ppf Group,Banking
142,Philip Anschutz,12,United States,Anschutz Entertainment,Entertainment
143,Pierre Castel,12,Switzerland,Castel Freres,Food & Beverages
144,Richard B Cohen,12,United States,C&S Wholesalers,Retail
145,Stefano Pessina,12,Monaco,Walgreen,Pharmaceuticals
146,Sun Piaoyang & Zhong Huijuan,12,China,"Hengrui Medicine, Haosen Medicine",Pharmaceuticals
147,Yan Bin,12,China,Reignwood,Food & Beverages
148,Zhou Hongyi,12,China,Qihoo,TMT
149,Alisher Usmanov,11,Russia,Megafon,Steel
150,Blair Parry-Okeden,11,Australia,Cox Enterprise,Media
151,Charles Butt,11,United States,Heb Store,Multi Brand Retailing
152,David Tepper,11,United States,Appaloosa Management,Hedge Funds
153,Dmitry Rybolovlev,11,Russia,Uralkali,Chemicals & Petrochemicals
154,Eduardo Saverin,11,Singapore,Facebook,Technology
155,Emmanuel Besnier,11,France,Lactalis,Food & Beverages
156,Guo Guangchang,11,China,Fosun,Investments
157,Jan Koum,11,United States,WhatsApp,Technology
158,John Fredriksen,11,United Kingdom,Frontline,Energy
159,John Menard Jr,11,United States,Menards,Multi Brand Retailing
160,Majid Al Futtaim,11,United Arab Emirates,Majid Al Futtaim,Real Estate
161,Michael Hartono,11,Indonesia,Bank Central Asia,Banking
162,Pierre Omidyar,11,United States,Ebay,Online Retail
163,R Budi Hartono,11,Indonesia,Bank Central Asia,Banking
164,Savitri Jindal,11,India,JSW Steel,Metals & Mining
165,Sun Hongbing,11,China,Sunac,Real Estate
166,Tos Chirathivat,11,Thailand,Central Group,Real Estate
167,Uday Kotak,11,India,Kotak Mahindra,Financial Services
168,Xu Shihui,11,China,Dali,Food
169,Gianfelice Mario Rocca,11,Argentina,Techint,Manufacturing
170,Paolo Mario Rocca,11,Argentina,Techint,Manufacturing
171,Alberto Bailleres Gonzalez,10,Mexico,Industrias Penoles,Mining
172,Charles Schwab,10,United States,Charles Schwab,Investments
173,John Malone,10,United States,Liberty Media,Entertainment
174,Micky Arison,10,United States,Carnival Cruises,Entertainment
175,Mikhail Prokhorov,10,Russia,Polyus Gold,Mining
176,Pan Zhengmin & Wu Chunyuan,10,China,AAC Acoustic Technologies,Audio technology
177,Stephen Ross,10,United States,Related Companies,Real Estate
178,Xu Rongmao,10,Hong Kong,Shimao,Real Estate
179,Zhou Qunfei & Zheng Junlong,10,China,Lens,Communication device
180,Dietmar Hopp,9.9,Germany,SAP,Software
181,Andrew Beal,9.8,United States,Beal Bank,Investments
182,Leonard Lauder,9.7,United States,Estee Lauder,Cosmetics
183,Cyrus Pallonji Mistry,9.6,India,Tata Sons,Diversified
184,Heinz Hermann Thiele,9.6,Germany,Knorr-Bremse,Automobiles & Auto Components
185,Shapoor Pallonji Mistry,9.6,France,Tata Sons,Diversified
186,Terry Guo Tai-Ming,9.6,Taiwan,Hon Hai,Manufacturing
187,Yan Zhi,9.6,China,Zhuoer,Real Estate
188,Herbert Kohler Jr,9.4,United States,Kohler,Manufacturing
189,Laurene Powell Jobs,9,United States,Walt Disney,Technology
190,Ludwig Merckle,9.4,Germany,Heidelberg Cement,Pharmaceuticals
191,Wang Qingtao,9.4,China,Zhongrong Xinda Group,Coal
192,Henry Sy,9.3,Philippines,Sm Prime Holding,Multi Brand Retailing
193,Kirk Kristiansen,9.3,Denmark,Lego,Manufacturing
194,Sunil Mittal,9.3,India,Bharti Airtel,Telecom Services
195,Wu Yajun,9.3,China,Longfor,Real Estate
196,James Goodnight,9.2,United States,Sas Institute,Technology
197,Liu Yongxing,9.2,China,East Hope,Chemicals & Petrochemicals
198,Wee Cho Yaw,9.2,Singapore,United Overseas Bank,Banking
199,German Khan,9.1,Russia,Alfa,Energy
200,Susilo Wonowidjojo,9.1,Indonesia,Gudang Garam,Tobacco
201,Xavier Niel,9.1,France,Iliad,Technology
202,Jay Y Lee,9,South Korea,Samsung,Electronics
203,Raymond Kwok,9,Hong Kong,Sun Hung Kai,Real Estate
204,Adam Kwok Kai-Fai,8.9,Hong Kong,Sun Hung Kai,Real Estate
205,Gordon Moore,8.9,United States,Intel,Technology
206,Shi Yuzhu,8.9,China,Giant,Financial Services
207,Kumar Mangalam Birla,8.8,India,Aditya Birla,Diversified
208,Suh Kyung-Bae,8.8,South Korea,Amore Pacific,Cosmetics
209,Wang Yusuo & Zhao Baoju,8.8,China,ENN,"Gas, energy"
210,August Von Finck,8.7,Switzerland,Allianz,Banking
211,Chen Jianhua & Fan Hongwei,8.7,China,Wujiang Henli Chemical Fibre,Textiles
212,Daniel Gilbert,8.7,United States,Quicken Loans,Investments
213,Giorgio Armani,8.7,Italy,Armani,Single Brand Retailing
214,David Duffield,8.6,United States,Workday,Technology
215,Gianluigi Aponte,8.6,Switzerland,Mediterranean Shipping,Shipping
216,James Dyson,8.6,United Kingdom,Dyson,Technology
217,George Soros,8.5,United States,Soros Fund Management,Hedge Funds
218,Vincent Bollore,8.5,France,Havas,Investments
219,Babetta Albrecht,8.4,Germany,Aldi Nord & Trader's Joe,Multi Brand Retailing
220,Charles Cadogan,8.4,United Kingdom,Cadogan Estate,Real Estate
221,Eka Tjipta Widjaja,8.4,Indonesia,Sinar Mas,Chemicals & Petrochemicals
222,Hoang Kieu,8.4,United States,RAAS Blood Products,Pharmaceuticals
223,Ken Griffin,8.4,United States,Citadel,Hedge Funds
224,Patrick Soon-Shiong,8.4,United States,Nant Works,Pharmaceuticals
225,Theo Jr Albrecht,8.4,Germany,Aldi Nord,Multi Brand Retailing
226,David Geffen,8.3,United States,Geffen Records,Entertainment
227,Harry Triguboff,8.3,Australia,Mir Investments,Real Estate
228,Kim Jung-Ju,8.3,South Korea,Nexon,Entertainment
229,Pierre Bellon,8.3,France,Sodexo,Food & Beverages
230,James Chambers,8.2,United States,Cox Enterprise,Media
231,Katharine Rayner,8.2,United States,Cox Enterprise,Media
232,Margaretta Taylor,8.2,United States,Cox Enterprise,Media
233,Viktor Rashnikov,8.2,Russia,MMK,Steel
234,Chen Lihua,8.1,China,Fu Wah,Real Estate
235,Melker Schorling,8,Sweden,Melker Schorling,Investments
236,Shen Guojun,8,China,Yintai,Retail
237,John Paulson,7.9,United States,Paulson,Hedge Funds
238,Lu Weiding,7.9,China,Wanxiang,"Car parts, real estate, agriculture"
239,Ricardo Salinas Pliego,7.9,Mexico,Elekta,Multi Brand Retailing
240,Roman Abramovich,7.9,United Kingdom,Millhouse,Investments
241,Mohammed Bin Rashid Al Maktoum,7.9,United Arab Emirates,Dubai Holdings,Investments
242,Goh Cheng Liang,7.8,Singapore,Nippon Paints,Manufacturing
243,Carl Cook,7.7,United States,Cook Group,Medical Device
244,Shigenobu Nagamori,7.7,Japan,Nidec Oration,Electronics
245,Johann Graf,7.6,Austria,Novamtic,Entertainment
246,Shahid Khan,7.6,United States,Flex N Gate,Automobiles & Auto Components
247,Aloys Wobben,7.5,Germany,Enercon,Energy
248,Leise Maersk Mckinney Moller,7.5,Denmark,AP Moller – Maersk,Logistics
249,Rahul Bajaj,7.5,India,Bajaj Auto,Automobiles & Auto Components
250,Shari Arison,7.5,Israel,Carnival Cruises,Entertainment
251,Zhang Yin & Liu Mingzhong,7.5,China,Nine Dragons Paper,Paper & Packaging
252,Yuan Yafei,7.5,China,Sunpower,Retail
253,Andy Von Bechtolsheim,7.4,United States,Arista Networks,Technology
254,Fang Wei,7.4,China,Fangda,Manufacturing
255,Maria Elisabeth Schaeffler,7.4,Germany,Schaeffler,Manufacturing
256,Thomas Frist Jr,7.4,United States,Hca Holding,Health Care
257,Alexei Kuzmichev,7.3,Russia,Alfa,Energy
258,George Kaiser,7.3,United States,BOK Financial,Energy
259,Iskander Makhmudov,7.3,Russia,Urals Mining,Mining
260,Jorn Rausing,7.3,United Kingdom,Tetra Pak,Packaging
261,Wei Jianjun & Hang Xuejuan,7.3,China,Great Wall Motor,Car manufacturing
262,Chen Dongsheng,7.2,China,Taikang,Financial Services
263,Eyal Ofer,7.2,Monaco,Royal Carribean Cruises,Shipping
264,Lin Yu-Lin,7.2,Hong Kong,Hung Tai,Real Estate
265,Silvio Berlusconi,7.2,Italy,Mediaset,Entertainment
266,Ingrid Flick,7.1,United States,Daimler,Automobiles & Auto Components
267,Ivan Glasenberg,7.1,Switzerland,Glencore International,Commodities
268,Juan Roig,7.1,Spain,Mercadona,Multi Brand Retailing
269,Ma Xingtian,7.1,China,Kangmei,Pharmaceuticals
270,Pang Kang,7.1,China,Haitian,Food flavorings
271,Qin Yinglin & Qian Ying,7.1,China,Muyuan,Husbandry
272,Sun Guangxin,7.1,China,Guanghui,"Car sales, energy, real estate"
273,Walter Droege,7.1,Germany,Droege International Group,consulting
274,Antonia Ax:Son Johnson,7,Sweden,Axel Johnson,Investments
275,Che Jianxing,7,China,Redstar Furniture,Retail
276,Finn Rausing,7,United Kingdom,Tetra Pak,Packaging
277,Heinrich Deichmann,7,Germany,Deichmann,Footwear Retail
278,Jiang Nanchun,7,China,FocusMedia,TMT
279,Johann Rupert,7,South Africa,Richemont,Multi Brand Retailing
280,Kirsten Rausing,7,United Kingdom,Tetra Pak,Packaging
281,Alexander Abramov,6.9,Russia,Evraz,Steel
282,David Reuben,6.9,United Kingdom,Global Switch,Real Estate
283,Ma Jianrong,6.9,China,Shenzhou,"Textiles, apparel"
284,Margarita Louis Dreyfus,6.9,Switzerland,Louis-Dreyfus,Agriculture
285,Simon Reuben,6.9,United Kingdom,Global Switch,Real Estate
286,Eli Broad,6.8,United States,AIG,Investments
287,Jim Pattison,6.8,Canada,Jim Pattison Group,Automobiles & Auto Components
288,Nicky Oppenheimer,6.8,South Africa,De Beers,Diamonds
289,Quek Leng Chan,6.8,Malaysia,Hong Leong Bank,Financial Services
290,Ajay Piramal,6.7,India,Piramal Enterprise,Pharmaceuticals
291,Benu Gopal Bangur,6.7,India,Shree Cements,Construction Materials
292,Christy Walton,6.7,United States,Walmart,Multi Brand Retailing
293,German Larrea Mota Velasco,6.7,Mexico,Grupo Mexico,Mining
294,Liu Yonghao,6.7,China,New Hope,"Agriculture, finance"
295,Michael Kadoorie,6.7,Hong Kong,CLP,"Electric Power,Investments"
296,Nusli Wadia,6.7,India,Britannia,FMCG
297,Zhou Jianping,6.7,China,Hailan,Textiles
298,Li Jinyuan,6.6,China,Tiens,Health care
299,Patrick Drahi,6.6,Switzerland,Altice,Telecom
300,Robert Rowling,6.6,United States,Trt Holdings,Investments
301,Tsai Eng-Meng,6.6,Taiwan,Want Want,Food & Beverages
302,Alexandre Ricard,6.5,France,Pernard Ricard,Food & Beverages
303,Anders Holch Povlsen,6.5,Denmark,Bestseller,Multi Brand Retailing
304,Brian Acton,6.5,United States,WhatsApp,Technology
305,Erivan Haub,6.5,Germany,Tengelmann,Multi Brand Retailing
306,Huang Qisen,6.5,China,Thaihot,Real estate
307,Kwon Hyuk-Bin,6.5,South Korea,Smilegate,Online Games
308,Ralph Dommermuth,6.5,Germany,United Internet,Technology
309,Walter Faria,6.5,Brazil,Petropolis,Food & Beverages
310,Li Hejun,6.4,China,Hanergy,New energy
311,Vikram Lal,6.4,India,Eicher Motors,Automobiles & Auto Components
312,Yu Yong,6.4,China,Cathay Fortune Corp,Mining
313,Bill Marriott Jr,6.3,United States,Marriott International,Hospitality
314,Carrie Perrodo,6.3,United Kingdom,Perenco,Energy
315,Chalerm Yoovidhya,6.3,Thailand,Red Bull,Food & Beverages
316,George Lucas,6.3,United States,Lucas Film,Entertainment
317,Gustaf Douglas,6.3,Sweden,Investment Ab Latour,Investments
318,James Crown,6.3,United States,General Dynamics,Aerospace
319,Jim Davis,6.3,United States,New Balance,Multi Brand Retailing
320,John Gokongwei Jr,6.3,Philippines,JG Summit Holding,Telecom
321,Liu Yiqian,6.3,China,Sunline,Investments
322,Lyu Xiangyang & Zhang Changhong,6.3,China,Guangzhou Youngy,Investments
323,Pansy Ho Chiu-King,6.3,Hong Kong,"Shun Tak , MGM China",Gaming
324,Sandra Ortega Mera,6.3,Spain,Inditex,Single Brand Retailing
325,Stef Wertheimer,6.3,Israel,Iscar,Manufacturing
326,Steven Rales,6.3,United States,Danaher,Manufacturing
327,Yeung Kin Man,6.3,Hong Kong,Biel Crystal Manufactory,Manufacturing
328,Frederik Paulson,6.3,Switzerland,Ferring Pharmaceuticals,Pharmaceuticals
329,Ananda Krishnan,6.2,Malaysia,Maxis Communication,Telecom
330,David Cheriton,6.2,United States,Arista Networks,Technology
331,Diane Hendricks,6.2,United States,Abc Supply,Single Brand Retailing
332,Edward Johnson Iii,6.2,United States,Fidelity,Investments
333,Lim Kok Thay,6.2,Malaysia,Genting Group,Hospitality
334,Lin Xiucheng & Lin Zhiqiang,6.2,China,Sanan,LED
335,Mohamed Bin Issa Al Jaber,6.2,Saudi Arabia,Mbi International,Hospitality
336,Peter Alexander Wacker,6.2,Germany,Wacker Chemie,Chemicals
337,Stanley Kroenke,6.2,United States,Kroenke Group,Sports
338,Wang Chuanfu,6.2,China,BYD,Automobiles & Auto Components
339,Yao Liangsong,6.2,China,Oppein,Furniture
340,Ann Walton Kroenke,6.1,United States,Walmart,Multi Brand Retailing
341,Eva Gonda Rivera,6.1,Mexico,FEMSA,Food & Beverages
342,Isolde Liebherr,6.1,Switzerland,Liebherr,Manufacturing
343,John A Sobrato,6.1,United States,Sobrato Development,Real Estate
344,Leonid Fedun,6.1,Russia,Lukoil,Energy
345,Luis Carlos Sarmiento,6.1,Colombia,Aval,Banking
346,Marian Ilitch,6.1,United States,Ilitch,Food & Beverages
347,Teh Hong Piow,6.1,Malaysia,Public Bank,Banking
348,Willi Liebherr,6.1,Switzerland,Liebherr,Manufacturing
349,Lino Saputo,6,Canada,Saputo,Food & Beverages
350,Liu Hanyuan & Guan Yamei,6,China,Tongwei,"Agriculture, new energy"
351,Nassef Sawiris,6,Egypt,Orascom Construction,Investments
352,Nie Tengyun & Chen Liying,6,China,Yunda,Express delivery
353,Pyotr Aven,6,Russia,Alfa,Energy
354,Radhakishan Damani,6,India,Avenue Supermarts,Retailing
355,Richard Lefrak,6,United States,Lefrak Organization,Real Estate
356,Bruno Schroder,5.9,United Kingdom,Schroders,Banking
357,Naguib Sawiris,5.9,Egypt,Vimpelcom,Telecom
358,Richard Branson,5.9,United Kingdom,Virgin,Entertainment
359,Sumet Jiaravanon,5.9,Thailand,Charoen Pokphand ,Conglomerate
360,Alejandro Bulgheroni,5.8,Argentina,Bridas Corp,Oil & Gas
361,Denis O'Brien,5.8,Ireland,Digicel,Telecom
362,Frederick Smith,5.8,United States,Fedex,Logistics
363,Gunther Fielmann,5.8,Germany,Fielmann,Multi Brand Retailing
364,Hiroshi Mikitani,5.8,Japan,Rakuten,Online Retail
365,John Doerr,5.8,United States,Kleiner Perkins Caufield & Byers,Investments
366,Leon Black,5.8,United States,Apollo Global Management,Investments
367,Lin Li,5.8,China,Liye,"Finance, Investments"
368,Ray Lee Hunt,5.8,United States,Hunt Oil Company,Energy
369,Zhang Bangxin,5.8,China,TAL,Education
370,Adi Godrej,5.7,India,Godrej,Consumer Durables
371,Bruce Kovner,5.7,United States,CAM Capital,Hedge Funds
372,Dannine Avara,5.7,United States,Enterprise Products,Energy
373,Hansjorg Wyss,5.7,United States,Synthes,Medical Equipments
374,Jamshyd Godrej,5.7,India,Godrej,Consumer Durables
375,Jean-Michel Besnier,5.7,France,Lactalis,Food & Beverages
376,Marie Besnier Beauvalot,5.7,France,Lactalis,Food & Beverages
377,Milane Frantz,5.7,United States,Enterprise Products,Energy
378,Nadir Godrej,5.7,India,Godrej,Consumer Durables
379,Pauline Macmillan Keinath,5.7,United States,Cargill,Trading
380,Randa Williams,5.7,United States,Enterprise Products,Energy
381,Rishad Naoroji,5.7,India,Godrej,Consumer Durables
382,Scott Duncan,5.7,United States,Enterprise Products,Energy
383,Smitha V Crishna,5.7,India,Godrej,Consumer Durables
384,Wang Tao,5.7,China,DJI-Innovations,TMT
385,Whitney Macmillan,5.7,United States,Cargill,Trading
386,Zhou Xiaoguang & Yu Yunxin,5.7,China,Xinguang,"Jewelry, real estate, investments"
387,Anthony Pratt,5.6,Australia,Visy Industries,"Paper,Packaging & recyling"
388,Cai Kui,5.6,China,Longfor,Real Estate
389,Chen Fashu,5.6,China,Xinhuadu,"Retail, mining, investment"
390,David Filo,5.6,United States,Yahoo,Technology
391,Fernando Roberto Moreira Salles,5.6,Brazil,Itau Unibanco,Banking
392,Graeme Hart,5.6,New Zealand,Rank Group,Investments
393,Jen-Hsun Huang,5.6,United States,Nvidia,Semiconductors
394,Joao Moreira Salles,5.6,Brazil,Itau Unibanco,Banking
395,Jose Luis Del Rio Goudie,5.6,Chile,SACI Falabella,Multi Brand Retailing
396,Magdalena Blocher,5.6,Switzerland,EMS Chemie,Chemicals & Petrochemicals
397,Odd Reitan,5.6,Norway,Reitangruppen,Retail
398,Pankaj Patel,5.6,India,Cadila,Pharmaceuticals
399,Pedro Moreira Salles,5.6,Brazil,Itau Unibanco,Banking
400,Rahel Blocher,5.6,Switzerland,EMS Chemie,Chemicals & Petrochemicals
401,Suleiman Kerimov,5.6,Russia,Polyus Gold,Mining
402,Walther Moreira Salles,5.6,Brazil,Itau Unibanco,Banking
403,Xu Jingren,5.6,China,Yangtze River Pharmacy,Pharmaceuticals
404,Zhu Mengyi,5.6,China,"Hopson, Pearl River",Real Estate
405,Arthur Blank,5.5,United States,Home Depot,Multi Brand Retailing
406,Issam Al Zahid,5.5,Saudi Arabia,Al zahid group of companies,Conglomerate
407,John Grayken,5.5,United Kingdom,Lone Star Funds,Private Equity
408,Lee Shin Cheng,5.5,Malaysia,Ioi Group,Food & Beverages
409,Li Hua,5.5,China,Excellence,Real Estate
410,Lin Yi,5.5,China,Shenglong,Real Estate
411,Micky Jagtiani,5.5,United Arab Emirates,Landmark,Multi Brand Retailing
412,Oleg Deripaska,5.5,Russia,Rusal,Steel
413,Kushal Pal Singh,5.5,India,DLF,Realty
414,Charles Johnson,5.4,United States,Franklin Resources,Investments
415,Daniel Ziff,5.4,United States,Oach Ziff Capital Management,Investments
416,Dirk Ziff,5.4,United States,Oach Ziff Capital Management,Investments
417,Fredrik Lundberg,5.4,Sweden,L E Lundbergforetagen,Real Estate
418,Friede Springer,5.4,Germany,Axel Springer,Entertainment
419,Hazel Czernin,5.4,United Kingdom,The Howard De Walden Estate,Real Estate
420,Horst Paulmann,5.4,Chile,Cencosud,Multi Brand Retailing
421,Li Shuirong,5.4,China,RongSheng,Chemical fibres
422,Philip Ng,5.4,Singapore,Far East,Real Estate
423,Robert Ng,5.4,Singapore,Far East,Real Estate
424,Robert Ziff,5.4,United States,Oach Ziff Capital Management,Investments
425,Ronald Lauder,5.4,United States,Estee Lauder,Cosmetics
426,Subhash Chandra,5.4,India,Zee,Media
427,Ted Lerner,5.4,United States,Lerner Enterprise,Real Estate
