Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
1,Jeff Bezos,123,United States,Amazon,Online Retail
2,Warren Buffett,102,United States,Berkshire Hathaway,Investments
3,Bill Gates,90,United States,Microsoft,Investments
4,Mark Zuckerberg,79,United States,Facebook,Technology
5,Bernard Arnault,78,France,LVMH,Single Brand Retailing
6,Amancio Ortega,73,Spain,Inditex,Single Brand Retailing
7,Carlos Slim Helu,67,Mexico,America Movil,Investments
8,Larry Ellison,54,United States,Oracle,Technology
9,Larry Page,50,United States,Google,Technology
10,Michael Bloomberg,49,United States,Bloomberg,Media
11,Alice Walton,48,United States,Walmart,Multi Brand Retailing
12,Charles Koch,48,United States,Koch Industries,Energy
13,David Koch,48,United States,Koch Industries,Energy
14,Jim Walton,48,United States,Walmart,Multi Brand Retailing
15,Pony Ma Huateng,47,China,Tencent,IT
16,Robson Walton,47,United States,Walmart,Multi Brand Retailing
17,Sergey Brin,46,United States,Google,Technology
18,Francoise Bettencourt-Meyers,46,France,L'Oreal,Cosmetics
19,Mukesh Ambani,45,India,Reliance,Oil & Gas
20,Bertrand Puech,41,France,Hermes,Single Brand Retailing
21,Xu Jiayin,41,China,Evergrande,"Real Estate, Investments"
22,Steve Ballmer,38,United States,Microsoft,Technology
23,Phil Knight,35,United States,Nike,Footwear Retail
24,Sheldon Adelson,35,United States,Las Vegas Sands,Casinos
25,Lee Shau Kee,34,Hong Kong,Henderson Land,"Real Estate,Investments"
26,Jack Ma Yun,32,China,Alibaba,"E-commerce, fintech"
27,Yang Huiyan,32,China,Country Garden,Real Estate
28,Francois Pinault,31,France,Kering,Multi Brand Retailing
29,Jacqueline Mars,31,United States,Mars,Food & Beverages
30,John Mars,31,United States,Mars,Food & Beverages
31,Jorge Paulo Lemann,31,Switzerland,3G Capital,Investments
32,Georg Schaeffler,30,Germany,Schaeffler Group,Manufacturing
33,Li Ka-Shing,30,Hong Kong,Cheung Kong,"Real Estate,Energy,Investments"
34,He Xiangjian & He Jianfeng,29,China,Midea,Home appliances
35,Maria Franca Fissolo,29,Monaco,Ferrero Rocher,Food & Beverages
36,Wang Jianlin,27,China,Wanda,Real Estate
37,Dieter Schwarz,26,Germany,Schwarz Group,Multi Brand Retailing
38,James & Arthur Irving,26,Canada,Irving Group,Energy
39,Leonardo Del Vecchio,25,Italy,Luxottica,Luxury Goods
40,Elon Musk,24,United States,Tesla Motors,Automobiles & Auto Components
41,Serge Dassault,24,France,Dassault System,Aviation
42,Michael Dell,23,United States,Dell,Technology
43,Susanne Klatten,23,Germany,BMW,Automobiles & Auto Components
44,Thomas Peterffy,23,United States,Interactive Brokers,Financial Services
45,Paul Allen,23,United States,Vulcan,Investments
46,Carl Icahn,22,United States,Icahn Enterprises,Investments
47,Wang Wei,22,Hong Kong,SF Express,Express delivery
48,Charoen Sirivadhanabhakdi,21,Thailand,Thai Beverage,Food & Beverages
49,Ding Lei,21,China,Netease,"IT, Entertainment"
50,Gérard Mulliez,21,France,Auchan,Multi Brand Retailing
51,Masayoshi Son,21,Japan,Softbank,Investments
52,Stefan Quandt,21,Germany,BMW,Automobiles & Auto Components
53,Takemitsu Takizaki,21,Japan,Keyence,Technology
54,Alexey Mordashov,20,Russia,Severstal,Steel
55,Elaine Marshall,20,United States,Koch Industries,Investments
56,Galen Weston,20,Canada,George Weston,Food & Beverages
57,Leonard Blavatnik,20,United Kingdom,Lyondellbasell,Energy
58,Li Yanhong & Ma Dongmin,20,China,Baidu,TMT
59,David Thomson,19,Canada,Thomson Reuters,Media
60,Henry Cheng Kar-Shun,19,Hong Kong,Chow Tai Fook,"Jewellery, Real Estate, Investments"
61,Vladimir Lisin,19,Russia,Novolipetsk Steel,Steel
62,Vladimir Potanin,19,Russia,Interros,Steel
63,Yan Hao,19,China,China Pacific Construction,Roads
64,Zhang Zhidong,19,China,Tencent,"IT, Entertainment"
65,Hugh Grosvenor,18,United Kingdom,Grosvenor,Real Estate
66,Joseph Lau Luen Hung,18,Hong Kong,Chinese Estates,"Real Estate,Art Collection"
67,Joseph Safra,18,Brazil,Safra Bank,Banking
68,Lee Kun Hee,18,South Korea,Samsung,Electronics
69,Ray Dalio,18,United States,Bridgewater Associates,Hedge Funds
70,Viktor Vekselberg,18,Russia,Renova,Energy
71,Yao Zhenhua,18,China,Baoneng,"Investments, Real estate"
72,Lakshmi N Mittal,18,United Kingdom,ArcelorMittal,Steel
73,Donald Bren,17,United States,Irvine Company,Real Estate
74,Ernesto Bertarelli,17,Switzerland,Serono,Pharmaceuticals
75,James Simons,17,United States,Renaissance Technologies,Hedge Funds
76,Khalifa Bin Zayed Al Nahyan,17,United Arab Emirates,SBK Holdings,Energy
77,Li Shufu & Li Xingxing,17,China,Geely,Car manufacturing
78,Lui Che Woo,17,Hong Kong,Galaxy Entertainment,Gaming
79,Ronald Perelman,17,United States,Scientific Game,Investments
80,Hans Rausing,16,United Kingdom,Tetra Pak,Packaging
81,Harold Hamm,16,United Kingdom,Continental Resources,Energy
82,Lei Jun,16,China,Xiaomi,Manufacturing
83,Leonid Mikhelson,16,Russia,Novatek,Energy
84,Marcel Herrmann Telles,16,Brazil,3G Capital,Investments
85,Zhang Jindong,16,China,Suning,Retail
86,Zong Qinghou,16,China,Wahaha,Drinks
87,Charlene Carvalho,15,United Kingdom,Heineken,Food & Beverages
88,Dietrich Mateschitz,15,Austria,Red Bull,Food & Beverages
89,Dilip Shanghvi,15,India,Sun Pharma,Pharmaceuticals
90,Dustin Moskovitz,15,United States,Facebook,Technology
91,Eric Schmidt,15,United States,Google,Technology
92,Gennady Timchenko,15,Switzerland,Gunvor,Energy
93,Hassanal Bolkiah,15,Brunei,Brunei Investment Agency,Energy
94,James Ratcliffe,15,United Kingdom,Ineos,Chemicals & Petrochemicals
95,Robert Kuok,15,Hong Kong,"Wilmar, Shangri La",Palm Oil
96,Stefan Persson,15,Sweden,Hennes & Mauritz,Single Brand Retailing
97,Lucas Walton,15,United States,Walmart,Multi Brand Retailing
98,Aliko Dangote,14,Nigeria,Dangote Cement,Cement
99,Alwaleed Bin Talal Alsaud,14,Saudi Arabia,Kingdom Holding,Investments
100,Charles Ergen,14,United States,Dish Networks,Entertainment
101,Gautam Adani,14,India,Adani Enterprises,Diversified
102,Klaus-Michael Kuhne,14,Switzerland,Kuehne & Nagel,Shipping
103,Lu Zhiqiang,14,China,Oceanwide,Real Estate
104,Rupert Murdoch,14,United States,News Corp,Media
105,Seo Jung Jin,14,South Korea,Celltrion,Pharmaceuticals
106,Shiv Nadar,14,India,HCL,Software & Services
107,Tadashi Yanai,14,Japan,Fast Retailing,Multi Brand Retailing
108,Alain Wertheimer,13,France,Chanel,Single Brand Retailing
109,Beate Heister,13,Germany,Aldi Sued,Retail
110,Gerard Wertheimer,13,United States,Chanel,Single Brand Retailing
111,Gong Hongjia & Chen Chunmei,13,Hong Kong,Hikvision Digital Technology,Video surveillance products
112,Iris Fontbona,13,Chile,Quinenco,Mining
113,Jim Kennedy,13,United States,Cox Enterprise,Media
