Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
1,Bernard Arnault,202,France,LVMH,Consumer Goods
2,Elon Musk,157,United States,Tesla,Automobile & Auto Components
3,Bertrand Puech,134,France,Hermes,Consumer Goods
4,Jeff Bezos,118,United States,Amazon,Retail
5,Warren Buffett,116,United States,Berkshire Hathaway,Investments
6,Bill Gates,110,United States,Microsoft,Investments
7,Steve Ballmer,101,United States,Microsoft,Software & Services
8,Larry Ellison,100,United States,Oracle,Software & Services
9,Mukesh Ambani,82,India,Reliance,Telecommunications
10,Francoise Bettencourt Meyers,80,France,L'Oreal,Consumer Goods
11,Amancio Ortega,78,Spain,Inditex,Consumer Goods
12,Carlos Slim Helu,78,Mexico,America Movil,Telecommunications
13,Larry Page,75,United States,Alphabet,Media & Entertainment
14,Sergey Brin,72,United States,Alphabet,Media & Entertainment
15,Zhong Shanshan,69,China,YST,Food & Beverages
16,Mark Zuckerberg,68,United States,Meta,Media & Entertainment
17,Jim Walton,66,United States,Walmart,Retail
18,Robson Walton,66,United States,Walmart,Retail
19,Michael Bloomberg,64,United States,Bloomberg,Financial Services
20,Alice Walton,63,United States,Walmart,Retail
21,Charles Koch,55,United States,Koch Industries,Energy
22,Julia Koch,55,United States,Koch Industries,Energy
23,Gautam Adani,53,India,Adani,Energy
24,Michael Dell,50,United States,Dell Technologies,Consumer Goods
25,Jacqueline Mars,47,United States,Mars,Food & Beverages
26,John Mars,47,United States,Mars,Food & Beverages
27,Giovanni Ferrero,46,Belgium,Ferrero Rocher,Food & Beverages
28,Francois Pinault,43,France,Kering,Consumer Goods
29,Klaus-Michael Kuhne,41,Switzerland,Kuehne & Nagel,Transportation & Logistics
30,Phil Knight,41,United States,Nike,Consumer Goods
31,Ma Huateng,39,China,Tencent,Media & Entertainment
32,Alain Wertheimer,38,France,Chanel,Consumer Goods
33,Gerard Wertheimer,38,United States,Chanel,Consumer Goods
34,Miriam Adelson,37,United States,Las Vegas Sands,Hospitality
35,Zhang Yiming,37,Singapore,ByteDance,Media & Entertainment
36,Ken Griffin,36,United States,Citadel,Financial Services
37,Zeng Yuqun,35,China,CATL,Energy
38,Laurene Powell Jobs,32,United States,Walt Disney,Media & Entertainment
39,Dieter Schwarz,31,Germany,Schwarz,Retail
40,Huang Zheng,31,China,Pinduoduo,Retail
41,Leonard Blavatnik,31,United Kingdom,Warner Music,Media & Entertainment
42,Li Ka-shing,31,Hong Kong,Cheung Kong,Investments
43,Gina Rinehart,28,Australia,Hancock Prospecting,Metals & Mining
44,Masayoshi Son,28,Japan,SoftBank,Investments
45,Thomas Peterffy,28,United States,Interactive Brokers,Financial Services
46,Cyrus Poonawalla,27,India,Serum,Healthcare
47,Ding Lei,27,China,Netease,Media & Entertainment
48,He Xiangjian,27,China,Midea,Consumer Goods
49,Takemitsu Takizaki,27,Japan,Keyence,Industrial Products
50,MacKenzie Scott,26,United States,Amazon,Investments
51,Shiv Nadar,26,India,HCL,Software & Services
52,David Thomson,25,Canada,Thomson Reuters,Media & Entertainment
53,Ma Yun,25,China,Alibaba,Retail
54,Rodolphe Saadé,25,France,CMA CGM,Transportation & Logistics
