Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
1,Bill Gates,80,United States,Microsoft ,Investments
2,Warren Buffett,68,United States,Berkshire Hathaway,Investments
3,Amancio Ortega,64,Spain,Inditex,Single Brand Retailing
4,Jeff Bezos,53,United States,Amazon,Online Retail
5,Carlos Slim Helu,50,Mexico,America Movil,Investments
6,Mark Zuckerberg,47,United States,Facebook ,Technology
7,Larry Ellison,46,United States,Oracle,Technology
8,David Koch,44,United States,Koch Industries,Energy
9,Charles Koch,44,United States,Koch Industries,Energy
10,Michael Bloomberg,37,United States,Bloomberg,Media
11,Bernard Arnault,37,France,LVMH,Single Brand Retailing
12,Dieter Schwarz,36,Germany,Schwarz Group,Multi Brand Retailing
13,Larry Page,34,United States,Google ,Technology
14,Liliane Bettencourt,33,France,L'Oreal,Cosmetics
15,Sergey Brin,33,United States,Google ,Technology
16,Jim Walton,31,United States,Walmart,Multi Brand Retailing
17,Alice Walton,30,United States,Walmart,Multi Brand Retailing
18,Robson Walton,29,United States,Walmart,Multi Brand Retailing
19,Ingvar Kamprad,28,Switzerland,Ikea,Single Brand Retailing
20,Jorge Paulo Lemann,27,Brazil,3G Capital,Investments
21,Mukesh Ambani,26,India,Reliance ,Energy
22,Wang Jianlin,26,China,Wanda,"Real estate, entertainment"
23,Christy Walton,25,United States,Walmart,Multi Brand Retailing
24,George Soros,25,United States,Soros Fund Management,Hedge Funds
25,Li Ka-shing,25,Hong Kong,Cheung Kong,Real Estate、Energy、Investments
26,Bertrand Puech,25,France,Hermes,Single Brand Retailing
27,Forrest Mars Jr,24,United States,Mars ,Food & Beverages
28,Gérard Mulliez,24,France,Auchan,Multi Brand Retailing
29,Lee Shau Kee,24,Hong Kong,Henderson Land,Real Estate、Investments
30,John Mars,24,United States,Mars ,Food & Beverages
31,Jacqueline Mars,24,United States,Mars ,Food & Beverages
32,Steve Ballmer,24,United States,Microsoft,Technology
33,David Thomson,23,Canada,Thomson Reuters,Media
34,Leonardo Del Vecchio,23,Italy,Luxottica,Luxury Goods
35,Phil Knight,23,United States,Nike,Footwear Retail
36,Sheldon Adelson,21,United States,Las Vegas Sands ,Casinos
37,Jack Ma Yun,21,China,"Alibaba, Ant Financial","E-commerce, finanical service"
38,Georg Schaeffler ,20,Germany,Schaeffler Group,Manufacturing
39,Carl Icahn,20,United States,Icahn Enterprises,Investments
40,Maria Franca Fissolo,20,Monaco,Ferrero Rocher,Food & Beverages
41,Anne Cox Chambers,19,United States,Cox Enterprise,Media
42,Paul Allen,19,United States,Vulcan ,Investments
43,Stefan Persson,19,Sweden,Hennes & Mauritz,Single Brand Retailing
44,Zong Qinghou,19,China,Wahaha,Drinks
45,Pony Ma,19,China,Tencent,IT
46,Dilip Shanghvi,18,India,Sun Pharma,Pharmaceuticals
47,Karl Albrecht Jr,18,Germany,Aldi Sud,Multi Brand Retailing
48,Rinat Akhmetov,16,Ukraine,System Capital Management,Investments
49,Ray Dalio,16,United States,Bridgewater Associates,Hedge Funds
50,Donald Bren,16,United States,Irvine Company,Real Estate
51,Elaine Marshall,16,United States,Koch Industries,Investments
52,SP Hinduja,16,United Kingdom,Hinduja Group,Manufacturing
53,Michael Dell,16,United States,Dell ,Technology
54,Salman bin Abdulaziz Al Saud,15,Saudi Arabia,-,Oil & Gas
55,Gerald Grosvenor,15,United Kingdom,Grosvenor,Real Estate
56,Serge Dassault,15,France,Dassault System,Aviation Technology
57,Galen Weston,15,Canada,George Weston  ,Food & Beverages
58,Tadashi Yanai,15,Japan,Fast Retailing,Multi Brand Retailing
59,Michael Otto,15,Germany,Otto Group,Multi Brand Retailing
60,Robert Kuok,15,Hong Kong,Kuok Group,Diversified
61,Alwaleed Bin Talal Alsaud,15,Saudi Arabia,Kingdom Holding Company,Investments
62,Leonard Blavatnik,15,United Kingdom,Lyondellbasell,Energy
63,Laurene Powell Jobs,14,United States,Apple,Technology
64,Abigail Johnson,14,United States,Fidelity ,Investments
65,Ronald Perelman,14,United States,Scientific Game ,Investments
66,Thomas Peterffy,14,United States,Interactive Brokers,Financial Services
67,James Simons,14,United States,Renaissance Technologies,Hedge Funds
68,Lei Jun,14,China,Xiaomi Technology,"Mobile phone, investments"
69,Yan Hao,14,China,China Pacific Construction Croup,Infrastructure 
70,Haji Hassanal Bolkiah,13,Brunei,Brunei Investment Agency,Energy
71,Li Yanhong & Ma Dongmin,13,China,Baidu,IT
72,Henry Sy,13,Philippines,Sm Prime Holding,Multi Brand Retailing
73,Charles Ergen,13,United States,Dish Networks ,Entertainment
74,Pallonji Mistry,13,India,Shapoorji Pallonji,Engineering & Construction
75,Stefano Pessina,13,Monaco,Walgreen,Pharmaceuticals
76,Stephen Schwarzman,13,United States,Blackstone ,Investments
77,Charoen Sirivadhanabhakdi,13,Thailand,Thai Beverage,Food & Beverages
78,Joseph Safra,13,Brazil,Grupo Safra,Banking
79,Georgina Rinehart,12,Australia,Roy Hill Iron Ore Mine,Mining
80,Bhumibol Adulyadej  ,12,Thailand,CPB Holdings,Diversified
81,Shiv Nadar,12,India,HCL,Technology
82,Patrick Soon-Shiong,12,United States,Nant Works,Pharmaceuticals
83,Marcel Herrmann Telles,12,Brazil,3G Capital,Investments
84,Emilio Alves Odebrecht,12,Brazil,Odebrecht,Petrochemical
85,Charlene Carvalho ,12,Netherlands,Heineken,Food & Beverages
86,Susanne Klatten,12,Germany,BMW,Automobile
87,Viktor Vekselberg,12,Russia,Renova,Energy
88,Ernesto Bertarelli,12,Switzerland,Serono ,Pharmaceuticals
89,Masayoshi Son,12,Japan,Softbank,Telecom
90,Gennady Timchenko,12,Switzerland,Gunvor,Energy
91,Jack Taylor,11,United States,Enterprise Rent A Car,Logistics
92,Khalifa bin Zayed Al Nahyan,11,United Arab Emirates,SBK Holdings,Energy
93,Andrew Beal,11,United States,Beal Bank,Investments
94,John Menard Jr,11,United States,Menards,Multi Brand Retailing
95,Steve Cohen,11,United States,Sac Capital,Hedge Funds
96,Hans Rausing,11,United Kingdom,Tetra Pak,Packaging
97,Stefan Quandt,11,Germany,BMW,Automobile
98,Massimiliana Landini Aleotti,11,Italy,Menarini,Pharmaceuticals
99,Lee Kun Hee,11,South Korea,Samsung,Electronics
100,Vladimir Potanin,11,Russia,Interros,Steel
101,Xu Jiayin,11,China,Evergrande,"Real Estate, Investments"
102,Johann Graf,10,Austria,Novamtic,Entertainment
103,Aliko Dangote,10,Nigeria,Dangote Cement,Cement
104,Philip Anschutz,10,United States,Anschutz Entertainment ,Entertainment
105,Mikhail Prokhorov,10,Russia,Polyus Gold,Mining
106,Petr Kellner,10,Czech Republic,Ppf Group ,Banking
107,Dustin Moskovitz,10,United States,Facebook,Technology
108,Rupert Murdoch,10,United States,News Corp,Media
109,Gerard Wertheimer,10,France,Chanel,Single Brand Retailing
110,Alain Wertheimer,10,France,Chanel,Single Brand Retailing
111,Lu Zhiqiang,10,China,FanHai,"Real estate, finance, investments"
112,Iris Fontbona,10,Chile,Quinenco,Mining
113,Joseph Lau,10,Hong Kong,Chinese Estates,Real Estate、Art Collection
114,Tos Chirathivat,10,Thailand,Central Group,Real Estate
115,Mohammed bin Rashid Al Maktoum,10,United Arab Emirates,Dubai Holdings,Investments
116,John Paulson,10,United States,Paulson & Co,Hedge Funds
117,Hansjorg Wyss,10,United States,Synthes,Medical Equipments
118,Jim Kennedy,10,United States,Cox Enterprise,Media
119,Blair Parry-Okeden,10,Australia,Cox Enterprise,Media
120,Charles Butt,10,United States,Heb Store,Multi Brand Retailing
121,Carlos Alberto Sicupira,10,Brazil,3G Capital,Investments
122,William Ding,10,China,Netease,"IT, Entertainment"
123,Alexey Mordashov,9,Russia,Severstal,Steel
124,Hasso Plattner,9,Germany,SAP,Technology
125,Francois Pinault,9,France,Kering,Multi Brand Retailing
126,Chalerm Yoovidhya,9,Thailand,Red Bull,Food & Beverages
127,Pan Sutong,9,Hong Kong,Goldin Properties,Real Estate
128,Yan Bin,9,China,Reignwood,"Red Bull, real estate"
129,Klaus-Michael Kuhne,9,Switzerland,Kuehne & Nagel ,Shipping
130,Xavier Niel,9,France,Iliad,Technology
131,Dhanin Chearavanont,9,Thailand,Charoen Pokphand Foods,Food & Beverages
132,Ananda Krishnan,9,Malaysia,Maxis Communication ,Telecom
133,Alisher Usmanov,9,Russia,Megafon,Steel
134,Elon Musk,9,United States,Tesla Motors,Automobile
135,Samuel Newhouse Jr,9,United States,Discovery Communication,Media
136,Donald Newhouse,9,United States,Discovery Communication,Media
137,Zhang Jindong,9,China,Suning,"Household appliance retail, property"
138,Suh Kyung-Bae,9,South Korea,Amore Pacific,Cosmetics
139,Margarita Louis Dreyfus,9,France,Louis-Dreyfus,Agriculture
140,Theo Jr Albrecht,9,Germany,Aldi Nord,Multi Brand Retailing
141,Mikhail Fridman,9,Russia,Alfa Group,Energy
142,Cheng Yu-tung,9,Hong Kong,New World Development /Chow Tai Fook,Real Estate、Jewellery、Investments
143,German Larrea Mota Velasco,9,Mexico,Grupo Mexico,Mining
144,Kwong Siu Hing,9,Hong Kong,Sun Hung Kai,Real Estate
145,John Malone,8,United States,Liberty Media ,Entertainment
146,Wang Wenyin,8,China,Amer,Cable and copper products
147,He Xiangjian & He Jianfeng,8,China,Midea ,Home appliances
148,Charles Cadogan,8,United Kingdom,Cadogan Estate,Real Estate
149,James Goodnight,8,United States,Sas Institute ,Technology
150,Cyrus S Poonawalla,8,India,Serum,Pharmaceuticals
151,Vladimir Lisin,8,Russia,Novolipetsk Steel,Steel
152,Dmitry Rybolovlev,8,Russia,Uralkali,Chemicals
153,Uday Kotak,8,India,Kotak Mahindra,Financial Services
154,George Kaiser,8,United States,BOK Financial ,Energy
155,Stephen Ross,8,United States,Related Companies,Real Estate
156,Eric Schmidt,8,United States,Google,Technology
157,Azim Premji,8,India,Wipro,Technology
158,Peter Woo & Pao Pui Yung,8,Hong Kong,Wheelock,Real Estate
159,Patrick Drahi,8,Switzerland,Altice,Telecom
160,Micky Arison,8,United States,Carnival Cruises,Entertainment
161,Chen Lihua,8,China,Fu Wah International ,Real estate
162,Ingrid Flick,8,United States,Daimler,Automobile
163,Juan Roig,8,Spain,Mercadona,Multi Brand Retailing
164,Pierre Castel,8,France,Castel Freres,Food & Beverages
165,Jay Y Lee,8,South Korea,Samsung ,Electronics
166,Jan Koum,8,United States,WhatsApp,Technology
167,David Tepper,8,United States,Appaloosa Management,Hedge Funds
168,Jia Yueting,8,China,Letv,IT
