Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
1,Elon Musk,197,United States,Tesla ,E-Cars
2,Jeff Bezos,189,United States,Amazon,E-Commerce
3,Bernard Arnault,114,France,LVMH,Luxury Goods
4,Bill Gates,110,United States,Microsoft,Software & Services
5,Mark Zuckerberg,101,United States,Facebook,Media
6,Warren Buffett,91,United States,Berkshire Hathaway,Investments
7,Zhong Shanshan,85,China,YST,Beverages
8,Mukesh Ambani,83,India,Reliance ,Telecommunications
9,Bertrand Puech,80,France,Hermes,Luxury Goods
10,Steve Ballmer,80,United States,Microsoft,Software & Services
11,Larry Ellison,77,United States,Oracle,Software & Services
12,Larry Page,77,United States,Alphabet,Media
13,Sergey Brin,77,United States,Alphabet,Media
14,Alice Walton,74,United States,Walmart,Multi-Brand Retail
15,Amancio Ortega,74,Spain,Inditex,Apparel & Accessories
16,Ma Huateng,74,China,Tencent,Internet Services
17,Jim Walton,71,United States,Walmart,Multi-Brand Retail
18,Robson Walton,71,United States,Walmart,Multi-Brand Retail
19,Huang Zheng,69,China,Pinduoduo,E-Commerce
20,Francoise Bettencourt Meyers,66,France,L'Oreal,Cosmetics
21,Carlos Slim Helu,65,Mexico,America Movil,Telecommunications
22,Phil Knight,64,United States,Nike,Apparel & Accessories
23,MacKenzie Scott,61,United States,Amazon,E-Commerce
24,Michael Bloomberg,56,United States,Bloomberg,Financial Services
25,Ma Yun,55,China,Alibaba,E-Commerce
26,Zhang Yiming,54,China,ByteDance,Entertainment
27,Charles Koch,53,United States,Koch Industries,Energy
28,Julia Koch,53,United States,Koch Industries,Energy
29,Wang Wei,49,Hong Kong,SF,Logistics
30,Francois Pinault,46,France,Kering,Luxury Goods
31,Giovanni Ferrero,44,Belgium,Ferrero Rocher,Chocolates & Confectionery  
32,He Xiangjian,43,China,Midea,Household Appliances
33,Daniel Gilbert,41,United States,Rocket Companies,NBFC
34,Michael Dell,41,United States,Dell Technologies,Consumer Electronics
35,Qin Yinglin、Qian Ying,41,China,Muyuan,Agriculture
36,Chen Jianhua、Fan Hongwei,40,China,Hengli,Industrial Products
37,Masayoshi Son,40,Japan,SoftBank,Investments
38,David Thomson,38,Canada,Thomson Reuters,Media
39,Ding Lei,38,China,Netease,Gaming
