Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
103,Pallonji Mistry,12,India,Shapoorji Pallonji,Construction & Engineering
104,Rupert Murdoch,12,United States,News Corp,Media
105,Shiv Nadar,12,India,HCL,Software & Services
106,Xu Jiayin,12,China,Evergrande,"Real Estate, Investments"
107,Andrew Beal,11,United States,Beal Bank,Investments
108,Charlene Carvalho,11,United Kingdom,Heineken,Food & Beverages
109,Charles Butt,11,United States,Heb Store,Multi Brand Retailing
110,Cyrus Poonawalla,11,India,Serum,Pharmaceuticals
111,David Tepper,11,United States,Appaloosa Management,Hedge Funds
112,Donald Newhouse,11,United States,Discovery Communication,Media
113,Emmanuel Besnier,11,France,Lactalis,Food & Beverages
114,Gina Rinehart,11,Australia,Roy Hill Iron Ore Mine,Mining
115,He Xiangjian、He Jianfeng,11,China,Midea,Home appliances
116,John Fredriksen,11,United Kingdom,Frontline,Energy
117,Marcel Herrmann Telles,11,Brazil,AbInbev,Food & Beverages
118,Massimiliana Landini Aleotti,11,Italy,Menarini,Pharmaceuticals
119,Michael Otto,11,Germany,Otto Group,Multi Brand Retailing
120,Philip Anschutz,11,United States,Anschutz Entertainment,Entertainment
121,Samuel Newhouse Jr,11,United States,Discovery Communication,Media
122,Vagit Alekperov,11,Russia,Lukoil,Energy
123,Yan Bin,11,China,Reignwood,Food & Beverages
124,Zhang Jindong,11,China,Suning,Retail
125,Alberto Bailleres Gonzalez,10,Mexico,Industrias Penoles,Mining
126,Blair Parry-Okeden,10,Australia,Cox Enterprise,Media
127,Klaus-Michael Kuhne,10,Switzerland,Kuehne & Nagel,Shipping
128,Kwong Siu Hing,10,Hong Kong,Sun Hung Kai,Real Estate
129,Lui Che Woo,10,Hong Kong,Galaxy Entertainment,Gaming
130,Peter Woo、Pao Pui Yung,10,Hong Kong,Wheelock,Real Estate
131,Petr Kellner,10,Czech Republic,Ppf Group,Banking
132,Charles Schwab,9.9,United States,Charles Schwab,Investments
133,Dustin Moskovitz,9.9,United States,Facebook,Technology
134,Patrick Drahi,9.8,Switzerland,Altice,Telecom
135,Azim Premji,9.7,India,Wipro,Software & Services
136,Henry Sy,9.7,Philippines,Sm Prime Holding,Multi Brand Retailing
137,Jim Kennedy,9.7,United States,Cox Enterprise,Media
138,John Paulson,9.7,United States,Paulson,Hedge Funds
139,Wang Wenyin、Liu Jiehong,9.7,China,Amer,Cable and copper products
140,Aliko Dangote,9.6,Nigeria,Dangote Cement,Cement
141,Hasso Plattner,9.6,Germany,SAP,Software
142,Dmitry Rybolovlev,9.5,Russia,Uralkali,Chemicals & Petrochemicals
143,Lucas Walton,9.4,United States,Walmart,Multi Brand Retailing
144,Patrick Soon-Shiong,9.4,United States,Nant Works,Pharmaceuticals
145,Chalerm Yoovidhya,9.3,Thailand,Red Bull,Food & Beverages
146,Lei Jun,9.3,China,Xiaomi,Manufacturing
147,Pierre Castel,9.3,Switzerland,Castel Freres,Food & Beverages
148,Zhang Shiping,9.3,China,Weiqiao Pioneering,"Textiles, aluminum"
149,Ernesto Bertarelli,9.1,Switzerland,Serono,Pharmaceuticals
150,James Dyson,9,United Kingdom,Dyson,Technology
151,Lorenzo Mendoza,8.8,Venezuela,Empresas Polar,Food & Beverages
152,Yang Huiyan,8.7,China,Country Garden,Real Estate
153,James Goodnight,8.6,United States,Sas Institute,Technology
154,Mikhail Fridman,8.6,Russia,Alfa,Energy
155,Shi Yuzhu,8.6,China,Giant,Financial Services
156,Zhang Zhidong,8.6,China,Tencent,"IT, Entertainment"
157,Carlos Alberto Sicupira,8.4,Brazil,AbInbev,Food & Beverages
158,Jan Koum,8.4,United States,WhatsApp,Technology
159,Sumner Redstone,8.4,United States,CBS,Telecom
160,Tos Chirathivat,8.3,Thailand,Central Group,Real Estate
161,Dietmar Hopp,8.2,Germany,SAP,Software
162,John Menard Jr,8.1,United States,Menards,Multi Brand Retailing
163,Mohammed Al Amoudi,8.1,Saudi Arabia,Corral Petroleum,Energy
164,Herbert Kohler Jr,8,United States,Kohler,Manufacturing
165,Ananda Krishnan,7.9,Malaysia,Maxis Communication,Telecom
166,Micky Arison,7.9,United States,Carnival Cruises,Entertainment
167,Mohammed bin Rashid Al Maktoum,7.9,United Arab Emirates,Dubai Holdings,Investments
168,Reinhold Wurth,7.9,Germany,Wurth Group,Automobiles & Auto Components
169,Roman Abramovich,7.9,United Kingdom,Millhouse,Investments
170,Babetta Albrecht,7.8,Germany,Aldi Nord & Trader's Joe,Multi Brand Retailing
171,Stephen Ross,7.8,United States,Related Companies,Real Estate
172,August von Finck,7.7,Switzerland,Allianz,Banking
173,Suh Kyung-Bae,7.7,South Korea,Amore Pacific,Cosmetics
174,Alisher Usmanov,7.5,Russia,Megafon,Steel
175,Eduardo Saverin,7.5,Singapore,Facebook,Technology
176,Andrey Melnichenko,7.4,Russia,Suek,Energy
177,Liu Yongxing,7.4,China,East Hope,Chemicals & Petrochemicals
178,Lu Guanqiu,7.4,China,Wanxiang,Automobiles & Auto Components
179,Michael Hartono,7.4,Indonesia,Bank Central Asia,Banking
180,Charles Cadogan,7.3,United Kingdom,Cadogan Estate,Real Estate
181,Mikhail Prokhorov,7.3,Russia,Polyus Gold,Mining
182,Pierre Bellon,7.3,France,Sodexo,Food & Beverages
183,R Budi Hartono,7.3,Indonesia,Bank Central Asia,Banking
184,Chen Lihua,7.2,China,Fu Wah,Real Estate
