Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
151,Chen Jianhua、Fan Hongwei,10,China,Wujiang Henli Chemical Fibre,Textiles
152,Gina Rinehart,10,Australia,Hancock Prospecting,Metals & Mining
153,Hassanal Bolkiah,10,Brunei,Brunei Investment Agency,Energy
154,Laurene Powell Jobs,10,United States,Walt Disney,Entertainment
155,Stephen Ross,10,United States,Related Companies,Real Estate
156,Thomas Frist Jr,10,United States,Hca Holding,Healthcare
157,Gautam Adani,9.9,India,Adani Enterprises,Conglomerate
158,Leonard Lauder,9.9,United States,Estee Lauder,Cosmetics
159,Charles Butt,9.8,United States,Heb Store,Multi Brand Retailing
160,Eduardo Saverin,9.8,Singapore,Facebook,Technology
161,Peter Woo Kwong-ching、Pao Pui Yung,9.8,Hong Kong,Wheelock,Real Estate
162,Wu Yajun,9.8,China,Longfor,Real Estate
163,Cyrus Pallonji Mistry,9.5,India,Tata Sons,Conglomerate
164,Dilip Shanghvi,9.5,India,Sun Pharma,Pharmaceuticals
165,Shapoor Pallonji Mistry,9.5,Monaco,Tata Sons,Conglomerate
166,Zhang Shiping,9.5,China,Weiqiao Pioneering,"Textiles, aluminum"
167,Joseph Tsai Chung-Hsin,9.3,Hong Kong,Alibaba ,TMT
168,Liu Yongxing,9.3,China,East Hope,Chemicals
169,Micky Arison,9.3,United States,Carnival Cruises,Entertainment
170,Susilo Wonowidjojo,9.3,Indonesia,Gudang Garam,Tobacco
171,Dietmar Hopp,9.2,Germany,SAP,Software & Services
172,Georg Schaeffler ,9.2,Germany,Schaeffler,Manufacturing
173,Gianluigi Aponte,9,Switzerland,Mediterranean Shipping,Shipping
174,John Malone,9,United States,Liberty Media ,Media
175,Wang Yusuo、Zhao Baoju,9,China,ENN,"Gas, energy "
176,Andrew Beal,8.9,United States,Beal Bank,Investments
177,Barnaby Swire,8.9,United Kingdom,Swire Pacific,Logistics
178,Harry Triguboff,8.9,Australia,Mir Investments,Real Estate
179,Charles Ergen,8.8,United States,Dish Networks ,Media
180,Ken Griffin,8.8,United States,Citadel,Hedge Funds
181,Pierre Omidyar,8.8,United States,Ebay,Online Retail
182,Gordon Moore,8.7,United States,Intel ,Technology
183,Herbert Kohler Jr,8.7,United States,Kohler,Manufacturing
184,David Geffen,8.6,United States,Geffen Records,Entertainment
185,Gong Hongjia、Chen Chunmei,8.6,Hong Kong,Hikvision ,TMT
186,Jay Y Lee,8.6,South Korea,Samsung ,Electronics
187,Mohamed Bin Issa Al Jaber,8.6,Saudi Arabia,Mbi International,Investments
188,Xu Shihui,8.6,China,Dali ,Food & Beverages
189,Ananda Krishnan,8.5,Malaysia,Maxis Communication ,Telecommunication
190,George Soros,8.5,United States,Soros Fund Management,Hedge Funds
191,Seo Jung Jin,8.5,South Korea,Celltrion,Pharmaceuticals
192,Charles Schwab,8.4,United States,Charles Schwab ,Investments
193,Giorgio Armani,8.4,Italy,Armani,Single Brand Retailing
194,Patrick Drahi,8.4,Switzerland,Altice,Telecommunication
195,Sara Mota De Larrea,8.4,Mexico,Grupo Mexico,Conglomerate
196,Zhang Yong、Shu Ping,8.4,Singapore,Haidilao,Restaurants
197,August Von Finck,8.3,Switzerland,Allianz,Banking
198,Eyal Ofer,8.3,Monaco,Royal Carribean Cruises,Shipping
199,Pham Nhat Vuong,8.3,Vietnam,Vingroup,Real Estate
200,Blair Parry-Okeden,8.2,Australia,Cox Enterprise,Media
201,Jim Kennedy,8.2,United States,Cox Enterprise,Media
202,Marijke Mars,8.1,United States,Mars ,Food & Beverages
203,Pamela Mars-Wright,8.1,United States,Mars ,Food & Beverages
204,Pang Kang,8.1,China,Haitian,Food flavorings
205,Patrick Soon-Shiong,8.1,United States,Nant Works,Pharmaceuticals
206,Raymond Kwok,8.1,Hong Kong,Sun Hung Kai,Real Estate
207,Valerie Mars,8.1,United States,Mars ,Food & Beverages
208,Victoria Mars,8.1,United States,Mars ,Food & Beverages
209,Walter Droege,8.1,Germany,Droege International,Consulting
210,Adam Kwok Kai-fai,8,Hong Kong,Sun Hung Kai,Real Estate
211,Bertil Hult,8,Switzerland,EF Education First,Education
212,Suleiman Kerimov,8,Russia,Polyus Gold,Metals & Mining
213,Babetta Albrecht,7.9,Germany,Aldi Nord,Multi Brand Retailing
214,Charles Cadogan,7.9,United Kingdom,Cadogan Estate,Real Estate
215,Theo Jr Albrecht,7.9,Germany,Aldi Nord,Multi Brand Retailing
216,Carl Cook,7.8,United States,Cook,Medical Device
217,Chen Dongsheng,7.6,China,Taikang,Financial Services
218,George Kaiser,7.6,United States,BOK Financial ,Energy
219,German Khan,7.6,Russia,Alfa,Banking
220,Melker Schorling,7.6,Sweden,Melker Schorling,Investments
221,Nicky Oppenheimer,7.6,South Africa,De Beers,Diamonds
222,Shen Guojun,7.6,China,Yintai ,Retail
223,Brian Acton,7.5,United States,WhatsApp,Technology
224,Chen Lihua,7.5,China,Fu Wah ,Real Estate
225,Diane Hendricks,7.5,United States,ABC Supply,Single Brand Retailing
226,Galen Weston,7.5,Canada,George Weston  ,Food & Beverages
227,Jorn Rausing,7.5,United Kingdom,Tetra Pak,Packaging
228,Nusli Wadia,7.5,India,Britannia,FMCG
229,Ludwig Merckle,7.4,Germany,Heidelberg Cement,Pharmaceuticals
230,Wang Wenxue,7.4,China,Fortune Land Development,Real Estate
231,David Reuben,7.3,United Kingdom,Global  Switch,Real Estate
232,Goh Cheng Liang,7.3,Singapore,Nippon Paints,Manufacturing
233,Heinrich Deichmann,7.3,Germany,Deichmann,Retail
234,Shahid Khan,7.3,United States,Flex N Gate,Automobiles & Components
235,Simon Reuben,7.3,United Kingdom,Global  Switch,Real Estate
236,Sun Hongbin,7.3,China,Sunac ,Real Estate
237,Daniel Gilbert,7.2,United States,Quicken Loans,Investments
238,Quek Leng Chan,7.2,Malaysia,Hong Leong,Financial Services
239,Rahul Bajaj,7.2,India,Bajaj Auto,Automobiles & Components
240,Alberto Bailleres Gonzalez,7.1,Mexico,Industrias Penoles,Metals & Mining
241,Michael Kadoorie,7.1,Hong Kong,CLP,"Electric Power, Investments"
242,Pierre Castel,7.1,Switzerland,Castel Freres,Food & Beverages
243,Stanley Kroenke,7.1,United States,Kroenke,Sports
244,Terry Guo Tai-Ming,7.1,Taiwan,Hon Hai ,Manufacturing 
245,Jim Davis,7,United States,New Balance,Multi Brand Retailing
246,Ma Jianrong,7,China,Shenzhou ,Textiles
247,Marian Ilitch,7,United States,Ilitch Holdings,Food & Beverages
248,Viktor Rashnikov,7,Russia,MMK,Metals & Mining
249,Dmitry Rybolovlev,6.9,Monaco,Uralkali,Chemicals
250,Graeme Hart,6.9,New Zealand,Rank,Investments
251,Stef Wertheimer,6.9,Israel,Iscar,Manufacturing
252,Sun Guangxin,6.9,China,Guanghui  ,"Car sales, energy, real estate"
253,Travis Kalanick,6.9,United States,Uber,Technology
254,Xu Hang,6.9,China,Mindray Medical,"Medical equipment, real estate"
255,Andy Von Bechtolsheim,6.8,United States,Arista Networks,Technology
256,Edward Johnson III,6.8,United States,Fidelity,Investments
257,Frederik Paulsen,6.8,Switzerland,Ferring Pharmaceuticals,Pharmaceuticals
258,Jim Pattison,6.8,Canada,Jim Pattison,Automobiles & Components
259,Luis Carlos Sarmiento,6.8,Colombia,Aval,Banking
260,Radovan Vitek,6.8,Czech Republic,CPI Property,Real Estate
261,Eli Broad,6.7,United States,AIG,Investments
262,Jerry Jones,6.7,United States,Dallas Cowboy,Sports
263,Mike Cannon-Brookes,6.7,Australia,Atlassian,Software & Services
264,Robert Pera,6.7,United States,Ubiquiti Networks,Technology
265,Scott Farquhar,6.7,Australia,Atlassian,Software & Services
266,Teh Hong Piow,6.7,Malaysia,Public Bank ,Banking
267,Wang Qingtao,6.7,China,Zhongrong Xinda Group,Coal 
268,Wang Tao,6.7,China,DJI-Innovations,Drones
269,Wee Cho Yaw,6.7,Singapore,United Overseas Bank,Banking
270,Acharya Balakrishna,6.6,India,Patanjali Ayurved,FMCG
271,David Gottesman,6.6,United States,Berkshire Hathaway,Investments
272,Finn Rausing,6.6,United Kingdom,Tetra Pak,Packaging
273,Kirsten Rausing,6.6,United Kingdom,Tetra Pak,Packaging
274,Murat Ulker,6.6,Turkey,Yildiz Holding,Food & Beverages
275,Steven Rales,6.6,United States,Danaher ,Manufacturing
276,Zeng Yuqun,6.6,China,CATL,Electronics
277,Adam Neumann,6.5,United States,WeWork,Real Estate
278,Ji Haipeng,6.5,China,Logan Estate,Real estate
279,Johann Graf,6.5,Austria,Novamtic,Entertainment
280,Khalaf Al Habtoor,6.5,United Arab Emirates,Al Habtoor ,Construction
281,Leonid Fedun,6.5,Russia,Lukoil,Energy
282,Reinhold Schmieding ,6.5,Italy,Arthrex,Medical devices
283,George Lucas,6.4,United States,Lucas Film,Entertainment
284,Guo Guangchang,6.4,China,Fosun ,Investments
285,John A Sobrato,6.4,United States,Sobrato Development,Real Estate
286,Antti Herlin,6.3,Finland,Kone,Elevators & Escalators production
287,Chairul Tanjung,6.3,Indonesia,CT,Conglomerate 
288,Lu Weiding,6.3,China,Wanxiang ,Automobile
289,Nassef Sawiris,6.3,Egypt,Adidas,Apparel
290,Paolo Rocca、Gianfelice Mario Rocca,6.3,Argentina,Techint ,Manufacturing
291,Richard Lefrak,6.3,United States,Lefrak Organization,Real Estate
292,Tsai Eng-Meng,6.3,Taiwan,Want Want ,Food & Beverages
293,Alexei Kuzmichev,6.2,United Kingdom,Alfa Group,Banking
294,Aloys Wobben,6.2,Germany,Enercon,Energy
295,Antonia Ax:Son Johnson,6.2,Sweden,Axel Johnson ,Investments
296,John Gokongwei Jr,6.2,Philippines,JG Summit Holding,Telecommunication
297,Kwon Hyuk-Bin,6.2,South Korea,Smilegate,Online Games
298,Margarita Louis Dreyfus,6.2,Switzerland,Louis-Dreyfus,Agriculture
299,Michael Stoschek,6.2,Germany,Brose Group,Automobiles & Components
300,Qin Yinglin、Qian Ying,6.2,China,Muyuan,Husbandry
301,Tom Love、Judy Love,6.2,United States,Love's Travel Stops & Country Stores,Multi Brand Retailing
302,Adi Godrej,6.1,India,Godrej,Consumer Durables
303,Bidzina Ivanishvili,6.1,Georgia,Rossiyskiy Kredit Bank,Investments
304,Christy Walton,6.1,United States,Walmart,Multi Brand Retailing
305,Hansjorg Wyss,6.1,United States,Synthes,Medical Equipment
306,Isolde Liebherr,6.1,Switzerland,Liebherr ,Manufacturing
307,Jamshyd Godrej,6.1,India,Godrej,Consumer Durables
308,Liu Yonghao,6.1,China,New Hope ,"Agriculture, finance"
309,Nadir Godrej,6.1,India,Godrej,Consumer Durables
310,Rishad Naoroji,6.1,India,Godrej,Consumer Durables
311,Smita V Crishna,6.1,India,Godrej,Consumer Durables
312,Willi Liebherr,6.1,Switzerland,Liebherr ,Manufacturing
313,Daniel Ziff,6,United States,Oach Ziff Capital Management,Investments
314,Dirk Ziff,6,United States,Oach Ziff Capital Management,Investments
315,Eva Gonda Rivera,6,Mexico,FEMSA,Food & Beverages
316,Marc Benioff,6,United States,Salesforce,Technology
317,Prakash Lohia,6,United Kingdom,Indorama Venture,Chemicals 
318,Robert Ziff,6,United States,Oach Ziff Capital Management,Investments
319,Shari Arison,6,Israel,Carnival Cruises,Entertainment
320,Shi Yuzhu、Shi Jing,6,China,Giant ,Financial Services
321,Cai Kui,5.9,Hong Kong,Longfor,Real Estate
322,John Doerr,5.9,United States,Kleiner Perkins,Investments
323,Juan Roig,5.9,Spain,Mercadona,Multi Brand Retailing
324,Kumar Mangalam Birla,5.9,India,Aditya Birla,Conglomerate
325,Laurent Dassault,5.9,France,Dassault System,Aviation
326,Lee Man Tat,5.9,Hong Kong,Lee Kun Kee,Food & Beverages
327,Marie-Helene Dassault,5.9,France,Dassault System,Aviation
328,Olivier Dassault,5.9,France,Dassault System,Aviation
329,Radhakishan Damani,5.9,India,Avenue Supermarts,Retail
330,Ronald Lauder,5.9,United States,Estee Lauder,Cosmetics
331,Sandra Ortega Mera,5.9,Spain,Inditex,Single Brand Retailing
332,Thierry Dassault,5.9,France,Dassault System,Aviation
333,Vincent Bollore,5.9,France,Havas,Investments
334,Hazel Czernin,5.8,United Kingdom,Howard De Walden Estate,Real Estate
335,Philip Ng,5.8,Singapore,Far East,Real Estate
336,Robert Ng,5.8,Singapore,Far East,Real Estate
337,Terrence Pegula,5.8,United States,Buffalo Sabres,Sports
338,Alexandra Daitch,5.7,United States,Cargill,Trading
339,Bruce Kovner,5.7,United States,CAM Capital,Hedge Funds
340,Denise Coates,5.7,United Kingdom,Bet365,Online Gambling
341,Fang Wei,5.7,China,Fangda ,Manufacturing
342,Jimmy Haslam,5.7,United States,Pilot Flying J,Single Brand Retailing
343,John Grayken,5.7,United Kingdom,Lone Star Funds,Private Equity
344,MA Yusuff Ali,5.7,United Arab Emirates,Lulu,Multi Brand Retailing
345,Naguib Sawiris,5.7,Egypt,Vimpelcom,Telecommunication
346,Pauline Macmillan Keinath,5.7,United States,Cargill,Trading
347,Richard Branson,5.7,United Kingdom,Virgin,Telecom
348,Sarah MacMillan,5.7,United States,Cargill,Trading
349,Whitney Macmillan,5.7,United States,Cargill ,Trading
350,Zhou Jianping,5.7,China,Heilan,Textiles
351,David Cheriton,5.6,United States,Arista Networks,Technology
352,Jean-Michel Besnier,5.6,France,Lactalis,Food & Beverages
353,Marie Besnier Beauvalot,5.6,France,Lactalis,Food & Beverages
354,Nathan Kirsh,5.6,United Kingdom,Jetro Holdings,Wholesale
355,Rinat Akhmetov,5.6,Ukraine,System Capital Management,Investments
356,Xu Jingren,5.6,China,Yangtze River Pharmacy ,Pharmaceuticals
357,Zhang Jin,5.6,China,Cedar,"Investment, real estate"
358,Anders Holch Povlsen,5.5,Denmark,Bestseller,Multi Brand Retailing
359,Bubba Cathy,5.5,United States,Chick - Fil - A,Food & Beverages
360,Charles Dolan,5.5,United States,Madison Square Garden Company,Sports
361,Dan Cathy,5.5,United States,Chick - Fil - A,Food & Beverages
362,Jack Dorsey,5.5,United States,Twitter,Technology
363,Jiang Rensheng,5.5,China,Zhifei Biological Products,Vaccine 
364,Johann Rupert,5.5,South Africa,Richemont,Multi Brand Retailing
365,John Paulson,5.5,United States,Paulson & Co,Hedge Funds
366,John Sall,5.5,United States,Sas Institute,Technology
367,Michael Herz,5.5,Germany,Maxingvest,Food & Beverages
368,Robert Rowling,5.5,United States,TRT Holdings,Investments
369,Ronda Stryker,5.5,United States,Stryker,Medical Technology
370,Shiv Nadar,5.5,India,HCL,Software & Services
371,Wolfgang Herz,5.5,Germany,Maxingvest,Food & Beverages
372,Zhu Baoguo,5.5,China,Joint Care,Pharmaceuticals
373,Ann Walton Kroenke,5.4,United States,Walmart,Multi Brand Retailing
374,Arthur Blank,5.4,United States,Home Depot,Multi Brand Retailing
375,Benu Gopal Bangur,5.4,India,Shree Cements,Construction Materials
376,Ivan Glasenberg,5.4,Switzerland,Glencore,Commodities
377,James Chambers,5.4,United States,Cox Enterprise,Media
378,Katharine Rayner,5.4,United States,Cox Enterprise,Media
379,Li Shuirong,5.4,China,RongSheng ,Manufacturing
380,Margaretta Taylor,5.4,United States,Cox Enterprise,Media
381,Niels Peter Louis-Hansen,5.4,Denmark,Coloplast,Medical Equipment
382,Silvio Berlusconi,5.4,Italy,Mediaset,Media
383,Trevor Rees-Jones,5.4,United States,Marcellus,Energy
384,Zhou Hongyi,5.4,China,Qihoo,TMT
385,Arnon Milchan,5.3,Israel,Regency Enterprises,Entertainment
386,Daniel Servitje Montull,5.3,Mexico,Bimboa Mexico,Food processing
387,Francisco Javier Bours Castelo,5.3,Mexico,Megacable Holdings,Telecommunication
388,James Crown,5.3,United States,General Dynamics,Aerospace
389,Kim Jung-Ju,5.3,South Korea,Nexon ,Entertainment
390,Lino Saputo,5.3,Canada,Saputo,Food & Beverages
391,Miguel Fluxa Rossello,5.3,Spain,Grupo Iberostar ,Hospitality
392,Pierre Bellon,5.3,France,Sodexo,Food & Beverages
393,Randa Williams,5.3,United States,Enterprise Products,Energy
394,Tong Jinquan,5.3,China,Changfeng  ,Real Estate
395,Wolfgang Marguerre,5.3,Germany,Octapharma,Pharmaceuticals
396,Yeung Kin Man,5.3,Hong Kong,Biel Crystal Manufactory,Manufacturing
397,Zhang Bangxin,5.3,China,TAL,Education
398,Arthur Irving,5.2,Canada,Irving Group,Energy
399,Bill Marriott Jr,5.2,United States,Marriott International,Hospitality
400,Dan Sten Olsson,5.2,Sweden,Stena Sphere,conglomerate
401,Dannine Avara,5.2,United States,Enterprise Products,Energy
402,JK Irving,5.2,Canada,Irving Group,Energy
403,Leon Black,5.2,United States,Apollo Global Management,Investments
404,Li Hua,5.2,China,Excellence ,Real estate
405,Li Xiting,5.2,Singapore,Mindray,Pharmaceuticals
406,Milane Frantz,5.2,United States,Enterprise Products,Energy
407,Robert Kraft,5.2,United States,Kraft,Sports
408,Xavier Niel,5.2,France,Iliad,Technology
409,Zhang Hongwei,5.2,China,Orient,Energy
410,Axel Oberwelland,5.1,Germany,August Storck,Food & Beverages
411,Carrie Perrodo,5.1,France,Perenco,Energy
412,David Shaw,5.1,United States,DE Shaw,Hedge Funds
413,Doug Meijer,5.1,United States,Meijer Supermarket,Multi Brand Retailing
414,Gabe Newell,5.1,United States,Valve,Online Game
415,Hank Meijer,5.1,United States,Meijer Supermarket,Multi Brand Retailing
416,Walter Faria,5.1,Brazil,Petropolis,Food & Beverages
417,Yan Zhi,5.1,China,Zhuoer ,Real Estate
418,Andrew、Peggy Cherng,5,United States,Panda Express,Hospitality
419,Anthoni Salim,5,Indonesia,First Pacific,Telecommunication
420,Israel Englander,5,United States,Millennium Management,Hedge Funds
421,Lee Shin Cheng,5,Malaysia,IOI Group,Food & Beverages
422,Lyu Xiangyang、Zhang Changhong,5,China,Guangzhou Youngy,Investments
423,Nancy Walton Laurie,5,United States,Walmart,Multi Brand Retailing
424,Odd Reitan,5,Norway,Reitan Group,Retail
425,Scott Duncan,5,United States,Enterprise Products,Energy
426,Sumet Jiaravanon,5,Thailand,CP Group,Conglomerate
427,Wendy Lee,5,Hong Kong,Sun Hung Kai,Real Estate
428,Zhang Jun、Tao Meiying,5,China,Fu De,"Finance, real estate"
429,Zhang Yin,5,China,Nine Dragons Paper,Paper & Packaging
430,Che Jianxing,4.9,China,Macalline,Retail
431,Iskander Makhmudov,4.9,Russia,Urals Mining ,Metals & Mining
432,Michael Platt,4.9,Switzerland,BlueCrest Capital Management,Investments
433,Mitchell Rales,4.9,United States,Danaher,Manufacturing
