Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
1,Jeff Bezos,147,United States,Amazon,Online Retail
2,Bill Gates,96,United States,Microsoft ,Investments
3,Warren Buffett,88,United States,Berkshire Hathaway,Investments
4,Bernard Arnault,86,France,LVMH,Single Brand Retailing
5,Mark Zuckerberg,80,United States,Facebook ,Technology
6,Carlos Slim Helu,66,Mexico,America Movil,Investments
7,Amancio Ortega,56,Spain,Inditex,Single Brand Retailing
8,Mukesh Ambani,54,India,Reliance ,Oil & Gas
9,Sergey Brin,54,United States,Google ,Technology
10,Larry Page,53,United States,Google ,Technology
11,Larry Ellison,52,United States,Oracle,Technology
12,Francoise Bettencourt Meyers,49,France,L'Oreal,Cosmetics
13,Jim Walton,49,United States,Walmart,Multi Brand Retailing
14,Robson Walton,48,United States,Walmart,Multi Brand Retailing
15,Charles Koch,47,United States,Koch Industries,Energy
16,David Koch,47,United States,Koch Industries,Energy
17,Bertrand Puech,46,France,Hermes,Single Brand Retailing
18,Alice Walton,44,United States,Walmart,Multi Brand Retailing
19,Phil Knight,43,United States,Nike,Retail
20,Michael Bloomberg,42,United States,Bloomberg,Media
21,Steve Ballmer,41,United States,Microsoft,Technology
22,Francois Pinault,39,France,Kering,Multi Brand Retailing
23,Ma Yun,39,China,Alibaba,TMT
24,Ma Huateng,38,China,Tencent,Internet services
25,Maria Franca Fissolo,38,Monaco,Ferrero Rocher,Food & Beverages
26,Xu Jiayin,37,China,Evergrande,"Real estate, investments"
27,Jacqueline Mars,32,United States,Mars ,Food & Beverages
28,John Mars,32,United States,Mars ,Food & Beverages
29,Li Ka-shing,29,Hong Kong,Cheung Kong,"Real Estate, Energy, Investments"
30,Elon Musk,28,United States,Tesla Motors,Automobiles & Components
31,Sheldon Adelson,28,United States,Las Vegas Sands ,Casinos
32,Lee Shau Kee,27,Hong Kong,Henderson Land,"Real Estate, Investments"
33,Carl Icahn,25,United States,Icahn Enterprises,Investments
34,Michael Dell,24,United States,Dell Technologies,Technology
35,Jorge Paulo Lemann,23,Switzerland,3G Capital,Investments
36,Leonardo Del Vecchio,23,Italy,Luxottica,Luxury Goods
37,Yang Huiyan,23,China,Country Garden,Real estate
38,Dieter Schwarz,22,Germany,Schwarz,Multi Brand Retailing
39,Dietrich Mateschitz,22,Austria,Red Bull,Food & Beverages
40,Leonid Mikhelson,21,Russia,Novatek,Energy
41,SP Hinduja,21,United Kingdom,Hinduja,Conglomerate
42,Gennady Timchenko,20,Switzerland,Gunvor,Energy
43,Masayoshi Son,20,Japan,Softbank,Investments
44,Alain Wertheimer,19,France,Chanel,Single Brand Retailing
45,Elaine Marshall,19,United States,Koch Industries,Energy
46,Gerard Wertheimer,19,United States,Chanel,Single Brand Retailing
47,He Xiangjian、He Jianfeng,19,China,Midea,Home appliances
48,James Simons,19,United States,Renaissance Technologies,Hedge Funds
49,Joseph Safra,19,Brazil,Safra,Banking
50,Leonard Blavatnik,19,United Kingdom,Lyondellbasell,Energy
51,Thomas Peterffy,19,United States,Interactive Brokers,Financial Services
52,Tos Chirathivat,19,Thailand,Central,Real Estate
53,David Thomson,18,Canada,Thomson Reuters,Media
54,Rupert Murdoch,18,United States,News,Media
55,Vladimir Potanin,18,Russia,Interros,Metals & Mining
56,Yan Hao,18,China,China Pacific Construction ,Roads
57,Alexey Mordashov,17,Russia,Severstal,Metals & Mining
58,Azim Premji,17,India,Wipro,Software & Services
59,Charoen Sirivadhanabhakdi,17,Thailand,Thai Beverage,Food & Beverages
60,Donald Bren,17,United States,Irvine Company,Real Estate
61,Ernesto Bertarelli,17,Switzerland,Serono ,Pharmaceuticals
62,Henry Cheng Kar-shun,17,Hong Kong,Chow Tai Fook,"Jewellery, Real Estate, Investments"
63,Hugh Grosvenor,17,United Kingdom,Grosvenor,Real Estate
64,Viktor Vekselberg,17,Russia,Renova ,Energy
65,Wang Jianlin,17,China,Wanda,Real Estate
66,Gérard Mulliez,16,France,Auchan,Multi Brand Retailing
67,Joseph Lau Luen Hung,16,Hong Kong,Chinese Estates,"Real Estate, Art Collection"
68,Lee Kun Hee,16,South Korea,Samsung,Electronics
69,Ronald Perelman,16,United States,Scientific Game ,Investments
70,Susanne Klatten,16,Germany,BMW,Automobiles & Components
71,Vladimir Lisin,16,Russia,Novolipetsk Steel,Metals & Mining
72,Wang Wenyin,16,China,Amer,"Copper, Mining"
73,Beate Heister,15,Germany,Aldi Sued,Multi Brand Retailing
74,Ding Lei,15,China,Netease,Internet services
75,Dustin Moskovitz,15,United States,Facebook,Technology
76,Huang Zheng,15,China,Pinduoduo,TMT
77,Iris Fontbona,15,Chile,Antofagasta,Metals & Mining
78,Karl Albrecht Jr,15,Germany,Aldi Sued,Multi Brand Retailing
79,Massimiliana Landini Aleotti,15,Italy,Menarini,Pharmaceuticals
80,Mikhail Fridman,15,United Kingdom,Alfa,Energy
81,R Budi Hartono,15,Indonesia,Bank Central Asia,Banking
82,Ray Dalio,15,United States,Bridgewater Associates,Hedge Funds
83,Reinhold Wurth,15,Germany,Wurth,Automobiles & Components
84,Roman Abramovich,15,United Kingdom,Millhouse,Investments
85,Stefan Quandt,15,Germany,BMW,Automobiles & Components
86,Takemitsu Takizaki,15,Japan,Keyence ,Technology
87,Vagit Alekperov,15,Russia,Lukoil,Energy
88,Alwaleed Bin Talal Alsaud,14,Saudi Arabia,Kingdom Holding,Investments
89,David Tepper,14,United States,Appaloosa Management,Hedge Funds
90,Eric Schmidt,14,United States,Google,Technology
91,Hans Rausing,14,United Kingdom,Tetra Pak,Packaging
92,Harold Hamm,14,United States,Continental Resources,Energy
93,Lui Che Woo,14,Hong Kong,Galaxy Entertainment,Gaming
94,Michael Hartono,14,Indonesia,Bank Central Asia,Banking
95,Petr Kellner,14,Czech Republic,PPF,Banking
96,Robert Kuok,14,Hong Kong,"Wilmar, Shangri La",Palm Oil
97,Yao Zhenhua,14,China,Baoneng,"Investments, real estate"
98,Zhang Jindong,14,China,Suning,Retail
99,Zhang Yiming,14,China,ByteDance,TMT
100,Abigail Johnson,13,United States,Fidelity ,Investments
101,Charlene Carvalho,13,United Kingdom,Heineken,Food & Beverages
102,Cyrus Poonawalla,13,India,Serum,Pharmaceuticals
103,Heinz Hermann Thiele,13,Germany,Knorr-Bremse,Automobiles & Components
104,Li Yanhong、Ma Dongmin,13,China,Baidu,TMT
105,Lukas Walton,13,United States,Walmart,Multi Brand Retailing
106,Mikhail Prokhorov,13,Russia,Polyus Gold,Metals & Mining
107,Stephen Schwarzman,13,United States,Blackstone ,Investments
108,Steve Cohen,13,United States,Sac Capital,Hedge Funds
109,Wang Wei,13,Hong Kong,SF Express,Express delivery
110,Xu Rongmao,13,Hong Kong,Shimao,Real Estate
111,Zong Qinghou,13,China,Wahaha,Food & Beverages
112,Alisher Usmanov,12,Switzerland,Megafon,Metals & Mining
113,Andrey Melnichenko,12,Russia,Suek,Energy
114,David Duffield,12,United States,Workday,Technology
115,Emilio Alves Odebrecht,12,Brazil,Odebrecht,Petrochemical
116,James Dyson,12,United Kingdom,Dyson,Technology
117,John Fredriksen,12,United Kingdom,Frontline ,Energy
118,John Menard Jr,12,United States,Menards,Multi Brand Retailing
119,Kwong Siu Hing,12,Hong Kong,Sun Hung Kai,Real Estate
120,Lakshmi N Mittal,12,United Kingdom,ArcelorMittal,Metals & Mining
121,Majid Al Futtaim,12,United Arab Emirates,Majid Al Futtaim,Real Estate
122,Marcel Herrmann Telles,12,Brazil,3G Capital,Investments
123,Michael Otto,12,Germany,Otto,TMT
124,Philip Anschutz,12,United States,Anschutz Entertainment ,Entertainment
125,Stefano Pessina,12,Monaco,Walgreen,Pharmaceuticals
126,Tadashi Yanai,12,Japan,Fast Retailing,Multi Brand Retailing
127,Yan Bin,12,China,Reignwood,Food & Beverages
128,Zhang Zhidong,12,China,Tencent,Internet services
129,Donald Newhouse,11,United States,Discovery Communication,Media
130,Emmanuel Besnier,11,France,Lactalis,Food & Beverages
131,Hasso Plattner,11,Germany,SAP,Software & Services
132,Issam Al Zahid,11,Saudi Arabia,Al zahid ,Conglomerate
133,James Goodnight,11,United States,Sas Institute ,Technology
134,James Ratcliffe,11,United Kingdom,Ineos,Chemicals
135,Jan Koum,11,United States,WhatsApp,Technology
136,Klaus Michael Kuhne,11,Switzerland,Kuehne & Nagel ,Shipping
137,Lei Jun,11,China,Xiaomi,Manufacturing
138,Li Shufu,11,China,Geely ,Automobile
139,Lin Li,11,China,Liye ,"Finance, investments"
140,Liu Qiangdong,11,China,JD,TMT
141,Lu Zhiqiang,11,China,Oceanwide,Real Estate
142,Mohammed Al Amoudi,11,Saudi Arabia,Corral Petroleum,Energy
143,Ricardo Salinas Pliego,11,Mexico,Elekta,Multi Brand Retailing
144,Richard B Cohen,11,United States,C&S Wholesalers,Retail
145,Santi Bhirombhakdi,11,Thailand,Boon Rawd Brewery,Food & Beverages
146,Stefan Persson,11,Sweden,Hennes & Mauritz,Single Brand Retailing
147,Sun Piaoyang、Zhong Huijuan,11,China,Hengrui Medicine,Pharmaceuticals
148,Uday Kotak,11,India,Kotak Mahindra,Financial Services
149,Aliko Dangote,10,Nigeria,Dangote Cement,Cement
150,Carlos Alberto Sicupira,10,Brazil,3G Capital,Investments
